06-07-2019 01:55:38.202,-,API,"CoordinadorTemporal,0013A2004180A081,ZIGBEE TH Reg,4060,/dev/ttyUSB1 - 9600/8/N/1/N,0,46"
06-07-2019 01:41:33.836,2150,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:41:34.623,2151,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:41:39.895,2152,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:41:42.793,2153,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:41:45.573,2154,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:41:49.664,2155,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:41:49.664,2156,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:41:49.664,2157,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:41:49.664,2158,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:41:49.664,2159,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:41:49.664,2160,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:41:49.664,2161,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:41:49.664,2162,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:41:49.664,2163,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:41:49.664,2164,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:41:49.665,2165,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:41:49.665,2166,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:41:50.177,2167,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:41:51.925,2168,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:41:53.645,2169,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:41:56.582,2170,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:41:56.582,2171,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:41:56.582,2172,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:41:56.582,2173,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:41:57.225,2174,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:41:59.537,2175,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:42:02.231,2176,RECV,7E0012920013A200416D73AFF951010100010000019A
06-07-2019 01:42:04.611,2177,RECV,7E0012920013A200416D73AFF951010100010000019A
06-07-2019 01:42:04.612,2178,RECV,7E0012920013A200416D73AFF951010100010000019A
06-07-2019 01:42:04.612,2179,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:42:04.612,2180,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:42:04.612,2181,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:42:04.696,2182,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:42:05.673,2183,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:42:08.876,2184,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:42:11.240,2185,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:42:13.157,2186,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:42:15.348,2187,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:42:17.640,2188,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:42:17.640,2189,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:42:17.640,2190,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:42:17.640,2191,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:42:17.641,2192,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:42:17.641,2193,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:42:17.641,2194,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:42:17.641,2195,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:42:18.308,2196,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:42:21.710,2197,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:42:24.200,2198,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:42:24.200,2199,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:42:24.200,2200,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:42:24.200,2201,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:42:24.200,2202,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:42:25.083,2203,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:42:27.752,2204,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:42:29.371,2205,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:42:31.428,2206,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:42:33.738,2207,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:42:35.514,2208,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:42:37.745,2209,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:42:37.745,2210,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:42:37.745,2211,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:42:37.746,2212,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:42:37.746,2213,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:42:37.746,2214,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:42:37.746,2215,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:42:37.746,2216,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:42:38.674,2217,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:42:42.332,2218,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:42:44.304,2219,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:42:45.941,2220,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:42:45.941,2221,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:42:45.941,2222,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:42:45.941,2223,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:42:45.941,2224,RECV,7E0012920013A200416D73AFF951010100010000019A
06-07-2019 01:42:46.463,2225,RECV,7E0012920013A200416D73AFF951010100010000019A
06-07-2019 01:42:48.186,2226,RECV,7E0012920013A200416D73AFF951010100010000019A
06-07-2019 01:42:49.454,2227,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:42:50.818,2228,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:42:50.818,2229,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:42:51.334,2230,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:42:52.391,2231,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:42:53.795,2232,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:42:55.216,2233,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:42:56.727,2234,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:42:56.727,2235,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:42:57.215,2236,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:42:58.541,2237,RECV,7E0012920013A200416D73AFF951010100010000019A
06-07-2019 01:43:00.505,2238,RECV,7E0012920013A200416D73AFF951010100010000019A
06-07-2019 01:43:02.592,2239,RECV,7E0012920013A200416D73AFF951010100010000019A
06-07-2019 01:43:04.213,2240,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:43:05.692,2241,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:43:07.025,2242,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:43:08.453,2243,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:43:09.856,2244,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:43:11.842,2245,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:43:13.548,2246,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:43:14.910,2247,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:43:16.432,2248,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:43:18.004,2249,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:43:19.678,2250,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:43:19.678,2251,RECV,7E0012920013A200416D73AFF951010100010000019A
06-07-2019 01:43:19.678,2252,RECV,7E0012920013A200416D73AFF951010100010000019A
06-07-2019 01:43:19.678,2253,RECV,7E0012920013A200416D73AFF951010100010000019A
06-07-2019 01:43:19.678,2254,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:43:19.678,2255,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:43:19.678,2256,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:43:19.678,2257,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:43:19.678,2258,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:43:19.678,2259,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:43:20.408,2260,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:43:23.897,2261,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:43:25.586,2262,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:43:28.167,2263,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:43:28.168,2264,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:43:28.168,2265,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:43:28.168,2266,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:43:28.168,2267,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:43:28.184,2268,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:43:29.188,2269,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:43:32.194,2270,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:43:33.554,2271,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:43:34.918,2272,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:43:34.918,2273,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:43:34.919,2274,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:43:35.002,2275,RECV,7E0012920013A200416D73AFF951010100010000019A
06-07-2019 01:43:35.955,2276,RECV,7E0012920013A200416D73AFF951010100010000019A
06-07-2019 01:43:38.665,2277,RECV,7E0012920013A200416D73AFF951010100010000019A
06-07-2019 01:43:40.088,2278,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:43:41.739,2279,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:43:43.496,2280,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:43:45.726,2281,RECV,7E0012920013A200416D73AFF951010100010000009B
